INFO: 2024/10/30 15:20:31 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 7.5424ms
INFO: 2024/10/30 15:22:27 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 4.3598ms
INFO: 2024/10/30 15:23:31 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 4.5776ms
INFO: 2024/10/30 15:23:41 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 4.898ms
INFO: 2024/10/30 15:26:40 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 6.4429ms
INFO: 2024/10/30 15:26:53 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 4.9961ms
INFO: 2024/10/30 15:31:55 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 3.2105ms
INFO: 2024/10/30 15:32:15 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 4.4249ms
INFO: 2024/10/30 15:44:52 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 7.0988ms
INFO: 2024/10/30 15:45:10 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 7.6996ms
INFO: 2024/10/30 15:45:37 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 8.7974ms
INFO: 2024/10/30 15:46:09 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 5.1554ms
INFO: 2024/10/30 15:47:57 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 8.878ms
INFO: 2024/10/30 15:48:11 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 5.7513ms
INFO: 2024/10/30 15:50:16 processclientlogic.go:99: Processing Client completed, total process had_lane_mark_line count: 12,  total process had_lane_link: 1, total time costs 5.062ms
